epsilon,system,class,d_prime,hit_rate,fa_rate,beta
0.2,Shaperesnet,horse,-1.292299735659886,0.0004995004995004995,0.022830796578157984,30.498908807941714
0.2,Shaperesnet,ship,-1.8045351187570162,0.0004995004995004995,0.06860348850127763,74.45574853620363
0.2,Shaperesnet,truck,-1.9288240592063035,0.0004995004995004995,0.08660148872347517,88.87299883847682
0.3,Shaperesnet,airplane,-1.597113146094808,0.0004995004995004995,0.045161648705699366,53.538841246498635
0.3,Shaperesnet,automobile,-0.9088381071303244,0.0004995004995004995,0.008610154427285858,13.168377237712823
0.3,Shaperesnet,bird,-2.625467350201041,0.0004995004995004995,0.2529163426285968,180.07426611149174
0.3,Shaperesnet,cat,-2.530298835132787,0.0004995004995004995,0.22347516942561937,168.26184341341502
0.3,Shaperesnet,deer,-2.486809044564831,0.0004995004995004995,0.2106988112431952,162.6338403817468
0.3,Shaperesnet,dog,-1.897167734318162,0.0004995004995004995,0.08171314298411288,85.07999283634902
0.3,Shaperesnet,frog,-2.289173909036523,0.0004995004995004995,0.15826019331185423,136.05688156524312
0.3,Shaperesnet,horse,-1.0389401614471812,0.0004995004995004995,0.01216531496500389,17.800991993972307
0.3,Shaperesnet,ship,-1.7088274948230813,0.0004995004995004995,0.05682701922008666,64.28828078510713
0.3,Shaperesnet,truck,-1.750275927888975,0.0004995004995004995,0.06171536495944895,68.58603755563868
0.0,Bagnet,airplane,3.485707750252668,0.9055944055944056,0.0149427841350961,0.22436152858218614
0.0,Bagnet,automobile,3.950744279901646,0.9135864135864136,0.004832796355960449,0.08904335004317712
0.0,Bagnet,bird,3.041796219889374,0.8226773226773226,0.01716475947116987,0.16353543566060488
0.0,Bagnet,cat,2.6568833410031294,0.7697302697302697,0.0274969447839129,0.2082858234209937
0.0,Bagnet,deer,3.2564619553155483,0.8666333666333667,0.015942673036329298,0.1853349757183956
0.0,Bagnet,dog,2.9915704011288335,0.8056943056943057,0.016609265637151427,0.15022829799809398
0.0,Bagnet,frog,3.6590967177682083,0.9265734265734266,0.013609598933451839,0.2500466182273313
0.0,Bagnet,horse,3.6675463640240036,0.8916083916083916,0.0074991667592489725,0.1112959535693257
0.0,Bagnet,ship,3.89230165421949,0.9415584415584416,0.010054438395733807,0.22948670344916103
0.0,Bagnet,truck,3.752209626293453,0.9195804195804196,0.009387845794911677,0.16897839168212567
0.01,Bagnet,airplane,1.5645599154723122,0.514985014985015,0.06338184646150427,0.3118782927849228
0.01,Bagnet,automobile,2.421802382113446,0.6698301698301699,0.02371958671258749,0.1543833896557222
0.01,Bagnet,bird,1.0574137073892758,0.3741258741258741,0.08404621708699034,0.40720685992366157
0.01,Bagnet,cat,0.4046654236839129,0.1893106893106893,0.09937784690589935,0.6452222861791745
0.01,Bagnet,deer,1.1212319577580991,0.33916083916083917,0.062270858793467394,0.33500276979936433
0.01,Bagnet,dog,1.084176171058044,0.3691308691308691,0.07804688367959116,0.38673982069087354
0.01,Bagnet,frog,1.7298014648831201,0.527972027972028,0.04849461170981002,0.25291010946359294
0.01,Bagnet,horse,1.8822089578905934,0.5399600399600399,0.037384735029441174,0.20545925938808432
0.01,Bagnet,ship,2.049056007050718,0.6298701298701299,0.0429396733696256,0.24170581611620154
0.01,Bagnet,truck,2.157336002976772,0.6498501498501499,0.03816242639706699,0.22387748633288646
0.05,Bagnet,airplane,-1.7326894358522158,0.0024975024975024975,0.1412620819908899,28.880575984540652
0.05,Bagnet,automobile,-1.3376848935066215,0.0024975024975024975,0.0708254638373514,17.47300118142473
0.05,Bagnet,bird,-1.9641090218455186,0.0014985014985014985,0.1577046994778358,49.437148747827216
0.05,Bagnet,cat,-2.3279710132273914,0.0004995004995004995,0.16781468725697143,141.34178109411383
0.05,Bagnet,deer,-2.0585819452285694,0.0004995004995004995,0.10893234085101655,105.1636768733323
0.05,Bagnet,dog,-2.14978571709656,0.0004995004995004995,0.12693034107321408,117.18367279531682
0.05,Bagnet,frog,-1.3618534420863013,0.0024975024975024975,0.07415842684146207,18.09950611369577
0.05,Bagnet,horse,-1.7466163919475233,0.0004995004995004995,0.0612709698922342,68.20000591183643
0.05,Bagnet,ship,-1.9413892712594618,0.0004995004995004995,0.08860126652594157,90.39988950203326
0.05,Bagnet,truck,-1.3308051274685195,0.005494505494505495,0.11270969892234196,12.167643633408478
0.1,Bagnet,airplane,-2.159872887031382,0.0004995004995004995,0.12904121764248416,118.53418099699864
0.1,Bagnet,automobile,-1.803694207175394,0.0004995004995004995,0.06849238973447394,74.36272378944524
0.1,Bagnet,bird,-2.279468991223447,0.0004995004995004995,0.15592711920897678,134.73436543417367
0.1,Bagnet,cat,-2.3015147437724797,0.0004995004995004995,0.16125986001555384,137.73862904185714
0.1,Bagnet,deer,-2.144966819894786,0.0004995004995004995,0.1259304521719809,116.53975707270831
0.1,Bagnet,dog,-2.12377036072006,0.0004995004995004995,0.12159760026663705,113.71781333552491
0.1,Bagnet,frog,-1.949649134820125,0.0004995004995004995,0.08993445172758582,91.41000591324709
0.1,Bagnet,horse,-1.7059008353248428,0.0004995004995004995,0.05649372291967559,63.9910452448275
0.1,Bagnet,ship,-1.952382185959774,0.0004995004995004995,0.09037884679480057,91.7453374010717
0.1,Bagnet,truck,-2.077402889838295,0.0004995004995004995,0.11248750138873459,107.61203670045221
